Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Mori 1991	https://pubmed.ncbi.nlm.nih.gov/2002653/	1991	Rat	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-rat IgG and anti-rat albumin	Cortex	Multiple or no clear focus	20 hours	Blood vessels	Old rats 	"In aged brains fixed immediately after decapitation, the distribution of IgG immunoreactivity was essentially similar to that of young brains fixed from 0 through 20 hours postmortem. However, when fixation was carried out 2 hours after death, a few areas of focal leakage were present. Both perikarya and processes of neurons, but not their nuclei, were preferentially immunostained and were accompanied by moderate background (Fig. 5). Few glial cells were stained. In these regions, the microvessels could hardly be distinguished, whereas the fine network of microvessel immunoreactivity was well preserved in unaffected areas. Extravascular immunoglobulin was in]dependent of arterioles in distribution. Upon fixation 20 hours after death, the extent of extravasation continued to increase. Many labeled neurons were scattered throughout the cortices and background became more widespread, though microvessels were still seen in some areas."	No	NA	2	2-3	3	NA	3
Mori 1991	https://pubmed.ncbi.nlm.nih.gov/2002653/	1991	Rat	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-rat IgG and anti-rat albumin	Cortex	Multiple or no clear focus	2 hours	Blood vessels	Old rats 	"In aged brains fixed immediately after decapitation, the distribution of IgG immunoreactivity was essentially similar to that of young brains fixed from 0 through 20 hours postmortem. However, when fixation was carried out 2 hours after death, a few areas of focal leakage were present. Both perikarya and processes of neurons, but not their nuclei, were preferentially immunostained and were accompanied by moderate background (Fig. 5). Few glial cells were stained. In these regions, the microvessels could hardly be distinguished, whereas the fine network of microvessel immunoreactivity was well preserved in unaffected areas. Extravascular immunoglobulin was in]dependent of arterioles in distribution. Upon fixation 20 hours after death, the extent of extravasation continued to increase. Many labeled neurons were scattered throughout the cortices and background became more widespread, though microvessels were still seen in some areas."	No	NA	1	2	2	NA	2
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	3 hours	General cell membrane		"We found almost no morphological changes in the CA1 pyramidal at cells 3 h after death (Fig. 4a1-4)"	No	NA	0	0	0	NA	0
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	6 hours	Dendrite		"The density of basal dendrites started to decrease by 6 h after death (Fig. 4b4). At this time point, the apical dendrite width was decreased but the length and number were maintained; some of the secondary branches had disappeared 6 h after death (Fig. 4b1, b2)."	No	NA	3	1	1	2	2
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	6 hours	Soma		"The morphology of the cell soma, as well as the expression levels and distribution pattern of PSAP, were unchanged at 6 h after death (Fig. 4b3)."	No	NA	0	0	0	NA	0
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	12 hours	Dendrite		"The density of basal dendrites was markedly reduced by 12 h after death (Fig. 4c4). Additionally, the distal part of apical dendrites and the side branches had almost disappeared at 12 h after death"	No	NA	3	2	2	NA	3
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	24 hours	Soma	Text bolded to emphasize that this outcome relates to the soma feature, and the statement about dendrite is there for context about the time point. 	"We observed no basal or apical primary dendrites at 1 d after death, and only the stems of pyramidal neurons were maintained (Fig. 4d1, d2). The nuclei had shrunk further, and the cell bodies became narrower (Fig. 4d3)." 	No	NA	1	2-3	2	NA	2
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	72 hours	Soma		"Neuronal bodies had disappeared at 3 d after death." Figure 5 schematic. 	No	NA	3	3	3	NA	3
Nakabayashi 2021	https://www.semanticscholar.org/paper/Postmortem-Interval-Estimation-by-Evaluating-D-and-Nakabayashi-Nabeka/35b5df1d75717cd888fa967d02093721f3633484	2021	Rat	21°C	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Confocal microscopy, immunostaning with anti-PSAP and anti-MAP2, and staining with DAPI as well	Hippocampus CA1	Neuron	168 hours	Soma		"[C]ell bodies were entirely fragmented at 7 d after death." Figure 5 schematic. 	No	NA	3	3	3	NA	3
Oehmichen 1980	https://pubmed.ncbi.nlm.nih.gov/6448995/	1980	Rat	22°C	In situ	Immersion fixation or freezing	Light microscopy	No	Morphological staining of fixed tissue, for example H&E, or histochemical staining of frozen tissue	Multiple or no clear focus	Astrocyte	48 hours	General cell membrane		"Astrocytes however exhibit relatively few changes. They are also striking because of the swelling. Autolytic alterations are not reliably ascertainable with light microscopy."	No	NA	1	1	1	NA	1
Oehmichen 1980	https://pubmed.ncbi.nlm.nih.gov/6448995/	1980	Rat	22°C	In situ	Immersion fixation or freezing	Light microscopy	No	Morphological staining of fixed tissue, for example H&E, or histochemical staining of frozen tissue	Thalamus and reticular formation of the pons	Neuron	1 hour	General cell membrane	 	"The body of the nerve cell swells. The nucleus appears to be inflated and is lightly colored. Decreased basophilia, increased clumping, as well as deterioration of the substance of Nissl and the nuclear chromatin is observed at the same time (Fig. 2). Sometimes the nucleus becomes dark and a double membrane is visible. Intracytoplasmic vacuoles" ... "Nerve cells distinctly altered by autolysis first appear after a postmortal interval of 8 hours. At this time, they are observed almost exclusively in the reticular formation of the pons and singly in the medial and anteroventral (Fig. 1 a) thalamic nuclei. Slight swelling and clumping of the cytoplasm may be observed after two hours or even as little as one hour."	No	NA	1	1	1	NA	1
Oehmichen 1980	https://pubmed.ncbi.nlm.nih.gov/6448995/	1980	Rat	22°C	In situ	Immersion fixation or freezing	Light microscopy	No	Morphological staining of fixed tissue, for example H&E, or histochemical staining of frozen tissue	Reticular formation of the pons	Neuron	16 hours	General cell membrane		"Sixteen hours post mortem, all nerve cells in the reticular formation of the pons are shrunken, swollen, or deteriorated by autolysis."	No	NA	2	2-3	2	NA	2
Oehmichen 1980	https://pubmed.ncbi.nlm.nih.gov/6448995/	1980	Rat	22°C	In situ	Immersion fixation or freezing	Light microscopy	No	Morphological staining of fixed tissue, for example H&E, or histochemical staining of frozen tissue	Cerebellum and cerebral cortex	Neuron	24 hours	General cell membrane		"The number of Purkinje's cells altered by autolysis increases 24 hours post mortem. The molecular cell layer progressively detaches from the granular cell layer. The number of nerve cells altered by autolysis increases in the cerebral cortex as well. Altered nerve cells are found primarily in the fourth and fifth layers of the neurons in the cerebral cortex, particularly lateral to the sulcus saggitalis."	No	NA	2	2-3	3	NA	3
Oehmichen 1980	https://pubmed.ncbi.nlm.nih.gov/6448995/	1980	Rat	22°C	In situ	Immersion fixation or freezing	Light microscopy	No	Morphological staining of fixed tissue, for example H&E, or histochemical staining of frozen tissue	Cerebellum	Neuron	40 hours	General cell membrane		"Autolysis has destroyed almost all Purkinje's cells after 40 hours post mortem."	No	NA	3	3	3	NA	3
Oehmichen 1980	https://pubmed.ncbi.nlm.nih.gov/6448995/	1980	Rat	22°C	In situ	Immersion fixation or freezing	Light microscopy	No	Morphological staining of fixed tissue, for example H&E, or histochemical staining of frozen tissue	Hippocampus major	Neuron	48 hours	General cell membrane		"The number of nerve cells with these autolytic alterations increases up to 48 hours post mortem. Most nerve cells of the formation of the hippocampus major however are still morphologically intact at this time."	No	NA	1	2	2	NA	2
Pakkenberg 1964	https://pubmed.ncbi.nlm.nih.gov/14193494/	1964	Guinea pig, cow	4°C	Ex situ	Immersion fixation	Light microscopy	No	Stained with Einarson's gallocyanin method	Cerebral and cerebellar cortices	Multiple or no clear focus	5 hours	General cell membrane		"Tissue removed 5 hrs post mortem. Many cells are seen to show loss of substance (holes) in the cytoplasm, and the same numbers of shrunken cells are seen as previously [referring to the baseline time point of no PMI]". 	No	NA	1	1	1	NA	1
Pakkenberg 1964	https://pubmed.ncbi.nlm.nih.gov/14193494/	1964	Guinea pig, cow	4°C	Ex situ	Immersion fixation	Light microscopy	No	Stained with Einarson's gallocyanin method	Cerebral and cerebellar cortices	Multiple or no clear focus	24 hours	General cell membrane		"There is more pronounced loss of substance in the cytoplasm than in the previous case, and a number of shrunken cells are seen."	No	NA	1	2	2	NA	2
Pakkenberg 1964	https://pubmed.ncbi.nlm.nih.gov/14193494/	1964	Guinea pig, cow	4°C	Ex situ	Immersion fixation	Light microscopy	No	Stained with Einarson's gallocyanin method	Cerebral and cerebellar cortices	Multiple or no clear focus	48 hours	General cell membrane		"The number of well-preserved cells is now limited. Most of the cells show either shrinkage or loss of cytoplasmic substance"	No	NA	2	2	2	NA	2
Pakkenberg 1964	https://pubmed.ncbi.nlm.nih.gov/14193494/	1964	Guinea pig, cow	4°C	Ex situ	Immersion fixation	Light microscopy	No	Stained with Einarson's gallocyanin method	Cerebral and cerebellar cortices	Multiple or no clear focus	72 hours	General cell membrane		"Tissue removed 3 days post mortem. The cells likewise show either loss of cytoplasmic substance or shrinkage, and there are only a few well-preserved cells."	No	NA	2	2	2	NA	2
Pakkenberg 1964	https://pubmed.ncbi.nlm.nih.gov/14193494/	1964	Guinea pig, cow	4°C	Ex situ	Immersion fixation	Light microscopy	No	Stained with Einarson's gallocyanin method	Cerebral and cerebellar cortices	Multiple or no clear focus	96 hours	General cell membrane		"Tissue removed 4 days post mortem. Innumerable shrunken and distorted cells are seen, with only a few more or less well-preserved ceils occasionally. Almost all the nuclei are obviously shrunken and pyknotic, so that details cannot be distinguished. The structures appear to have partly disintegrated"	No	NA	3	3	3	NA	3
Petit 1990 	https://pubmed.ncbi.nlm.nih.gov/1695864/	1990	Rat	5°C	In situ	Immersion fixation	Electron microscopy	No	EPTA staining method	Dorsal motor-sensory cortex in the area of the anterior pole of the hippocampus	Neuron	6 hours	Synapse counts		"In the EPTA-stained tissue, synaptic density showed an initial non-significant slow steady drop beginning at 1 h, the earliest time examined (Fig. 3). This drop became marked and reached significance at 6 h (P < 0.05). By 10-15 h post-mortem, synaptic counts were down to approximately 30-40% of their initial levels."	No	NA	3	3	3	NA	3
Petit 1990 	https://pubmed.ncbi.nlm.nih.gov/1695864/	1990	Rat	5°C	In situ	Immersion fixation	Electron microscopy	No	Osmium staining method	Dorsal motor-sensory cortex in the area of the anterior pole of the hippocampus	Neuron	1 hour	Synapse counts		"[I]n the osmium-stained tissue synaptic counts showed an initial marked and significant drop by 1 h (P < 0.01; Fig. 3). Following this initial drop, there was little change in synaptic counts until 15 h post-mortem at which time there was another marked drop."	No	NA	3	3	3	NA	3
Petit 1990 	https://pubmed.ncbi.nlm.nih.gov/1695864/	1990	Rat	5°C	In situ	Immersion fixation	Electron microscopy	No	EPTA staining method	Dorsal motor-sensory cortex in the area of the anterior pole of the hippocampus	Neuron	1 hour	Synapse morphometry		"The data on synaptic structure are presented in Fig. 4. No significant differences were noted in cleft width between any groups. Increases in pre- and postsynaptic length were observed in all post-mortem delay groups, with significant differences seen at the earliest delay (P < 0.05; pre- at 1, 4 and 10 h; post- at 1 and 4 h). The increase, ranging from approximately 5 to 30%, appeared to occur within the first hour post-mortem, with little consistent change after that time. There were no consistent changes in maximal pre- or postsynaptic height, even after lengthy post-mortem delays. Virtually all post- mortem delay groups showed a small increase in pre- and postsynaptic area. This increase did not appear to be related to delay interval, and only reached significance in one group (P < 0.05 pre- at 4h). As might be expected from an increase in synaptic length, there was also an increase in pre- and postsynaptic perimeter (P < 0.05; pre- at 1, 2 and 4h; post- at 1 and 4h). As with length, the increase appeared to occur within the first post- mortem hour with little consistent change past that time."	No	NA	1	1	1	NA	1
